Rep,Time,Time_Diff_From_Last_Rep,Angle_Diff_From_Last_Rep,Highest_Angle,Contours_Count,Successful_Rep
1,0.97,0.97,109.27,109.27,5,Unsuccesful
2,3.76,4.73,11.27,120.55,4,Succesful
3,2.13,6.86,-61.72,58.83,4,Unsuccesful
4,0.88,7.74,49.78,108.6,3,Unsuccesful
5,1.38,9.11,10.2,118.81,4,Succesful
6,1.38,10.49,-2.45,116.36,4,Succesful
7,1.5,12.0,-3.67,112.69,3,Succesful
8,6.0,17.99,11.94,124.63,2,Succesful
9,1.12,19.11,-3.31,121.32,3,Succesful
10,1.14,20.25,6.91,128.22,2,Succesful
11,1.5,21.75,-26.27,101.96,3,Unsuccesful
12,0.88,22.63,18.14,120.1,4,Succesful
13,1.25,23.88,1.04,121.14,5,Succesful
14,1.12,25.0,-5.52,115.62,4,Succesful
15,1.01,26.01,12.76,128.38,3,Succesful
16,0.99,27.0,-0.1,128.28,4,Succesful
17,1.14,28.14,-11.48,116.8,3,Succesful
18,0.99,29.13,10.43,127.24,3,Succesful
